Season,Team,Champion,GP,W,L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF
1976,San Antonio Spurs,FALSE,82,44,38,9432,3711,0,0,0,0,0,0,2522,79.7,1110,2550,3660,2115,857,499,1770,1966
1977,San Antonio Spurs,FALSE,82,52,30,9385,3794,0,0,0,0,0,0,2234,80.4,1030,2594,3624,2240,797,553,1665,1871
1978,San Antonio Spurs,FALSE,82,48,34,9780,3927,0,0,0,0,0,0,2423,79.5,1096,2619,3715,2313,829,509,1652,2071
1979,San Antonio Spurs,FALSE,82,41,41,9788,3856,0,0,52,0,0,0,2528,80.1,1153,2515,3668,2326,771,333,1589,2103
1980,San Antonio Spurs,FALSE,82,52,30,9209,3571,0,0,15,0,0,0,2668,76.9,1304,2582,3886,2048,685,643,1533,2114
1981,San Antonio Spurs,FALSE,82,48,34,9272,3698,0,0,64,0,0,0,2335,77.6,1253,2537,3790,2257,600,555,1293,2217
1982,San Antonio Spurs,FALSE,82,53,29,9375,3697,7340,50.4,94,308,30.5,1887,2468,76.5,1232,2599,3831,2261,675,469,1504,2095
1983,San Antonio Spurs,FALSE,82,37,45,9862,3909,7721,50.6,79,263,30,1965,2604,75.5,1230,2528,3758,2361,685,491,1447,2146
1984,San Antonio Spurs,FALSE,82,41,41,9412,3698,7202,51.3,55,202,27.2,1961,2571,76.3,1127,2470,3597,2316,757,443,1542,2180
1985,San Antonio Spurs,FALSE,82,35,47,9120,3596,7104,50.6,46,196,23.5,1882,2523,74.6,1069,2413,3482,2260,800,390,1624,2115
1986,San Antonio Spurs,FALSE,82,28,54,8882,3532,7456,47.4,117,403,29,1701,2292,74.2,1285,2347,3632,2220,786,325,1406,1930
1987,San Antonio Spurs,FALSE,82,31,51,9314,3706,7559,49,133,412,32.3,1769,2412,73.3,1184,2335,3519,2344,739,468,1418,1991
1988,San Antonio Spurs,FALSE,82,21,61,8652,3469,7409,46.8,63,293,21.5,1651,2367,69.8,1295,2181,3476,2037,961,423,1712,2153
1989,San Antonio Spurs,FALSE,82,56,26,8718,3388,6997,48.4,54,226,23.9,1888,2535,74.5,1163,2474,3637,2037,799,554,1399,1854
1990,San Antonio Spurs,FALSE,82,55,27,8782,3409,6988,48.8,81,297,27.3,1883,2459,76.6,1131,2657,3788,2140,670,571,1445,1896
1991,San Antonio Spurs,FALSE,82,47,35,8524,3377,7090,47.6,118,404,29.2,1652,2246,73.6,1229,2552,3781,2010,729,608,1308,1799
1992,San Antonio Spurs,FALSE,82,49,33,8652,3311,6762,49,236,692,34.1,1794,2346,76.5,919,2542,3461,2012,582,514,1227,1844
1993,San Antonio Spurs,FALSE,82,55,27,8202,3178,6688,47.5,249,714,34.9,1597,2151,74.2,1189,2597,3786,1896,561,450,1198,1662
1994,San Antonio Spurs,FALSE,82,62,20,8742,3236,6687,48.4,434,1158,37.5,1836,2487,73.8,1029,2661,3690,1919,656,456,1246,1871
1995,San Antonio Spurs,FALSE,82,59,23,8477,3148,6602,47.7,518,1320,39.2,1663,2261,73.6,937,2586,3523,2044,645,536,1195,1820
1996,San Antonio Spurs,FALSE,82,20,62,7418,2827,6391,44.2,378,1180,32,1386,1929,71.9,1101,2129,3230,1661,646,431,1243,1764
1997,San Antonio Spurs,FALSE,82,56,26,7587,2898,6187,46.8,302,863,35,1489,2164,68.8,984,2638,3622,1839,516,568,1318,1731
1998,San Antonio Spurs,TRUE,50,37,13,4640,1740,3812,45.6,172,521,33,988,1415,69.8,614,1584,2198,1101,421,351,759,1010
1999,San Antonio Spurs,FALSE,82,53,29,7886,2952,6393,46.2,330,882,37.4,1652,2214,74.6,927,2666,3593,1819,614,551,1233,1716
2000,San Antonio Spurs,FALSE,82,58,24,7886,2884,6262,46.1,445,1094,40.7,1673,2340,71.5,902,2712,3614,1778,568,576,1145,1551
2001,San Antonio Spurs,FALSE,82,58,24,7932,2913,6363,45.8,438,1211,36.2,1668,2249,74.2,907,2566,3473,1643,625,537,1180,1575
2002,San Antonio Spurs,TRUE,82,60,22,7856,2908,6297,46.2,449,1270,35.4,1591,2194,72.5,939,2556,3495,1636,629,529,1295,1672
2003,San Antonio Spurs,FALSE,82,57,25,7501,2842,6434,44.2,408,1140,35.8,1409,2069,68.1,1029,2669,3698,1676,661,537,1203,1667
2004,San Antonio Spurs,TRUE,82,59,23,7888,2923,6450,45.3,507,1395,36.3,1535,2120,72.4,987,2489,3476,1771,613,543,1126,1717
2005,San Antonio Spurs,FALSE,82,63,19,7837,2993,6342,47.2,524,1362,38.5,1327,1891,70.2,851,2548,3399,1717,543,467,1126,1714
2006,San Antonio Spurs,TRUE,82,58,24,8079,2999,6328,47.4,595,1561,38.1,1486,1980,75.1,761,2577,3338,1814,587,417,1137,1588
2007,San Antonio Spurs,FALSE,82,56,26,7820,2938,6424,45.7,594,1610,36.9,1350,1774,76.1,771,2612,3383,1718,521,337,1035,1537
2008,San Antonio Spurs,FALSE,82,54,28,7958,3042,6534,46.6,625,1620,38.6,1249,1641,76.1,728,2638,3366,1736,474,329,963,1546
2009,San Antonio Spurs,FALSE,82,50,32,8312,3150,6659,47.3,554,1547,35.8,1458,1969,74,887,2621,3508,1829,516,381,1116,1669
